ID,CONT,COUNTRY,LIMSPENDTYPE,LIMSPENDPARTY,LIMSPENDOTHER,LIMSPENDMEDIA,LIMSPENDONLINE,RESTRONLINE,PUBFUNDPARTY,PUBFUNDOTHER,FREEMEDIAPARTY,FREEMEDIAOTHER,INDIRPUBFUND,FINREPPARTY,FINREPOTHER,FINREPPUBLIC,FINREPDONOR,FINREPINCOME,FINREPSPEND,TRANSPONLINE,SANCTIONS,MONITORBODY,REGPARTY,REGREQPARTY,REGOTHER,REGREQOTHER,DONFORPARTY,DONFOROTHER,DONCORPPARTY,DONCORPOTHER,DONTUPARTY,DONTUOTHER,DONGOVCONPARTY,DONGOVCONOTHER,DONGOVCORPPARTY,DONGOVCORPOTHER,DONLIMPARTY,DONLIMOTHER,DONIKLIMPARTY,DONIKLIMOTHER,DONBANK,OTHERACTORS
AGO,Africa,Angola,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_yes,FREEMEDIAOTHER_no,INDIRPUBFUND_yes,FINREPPARTY_g,FINREPOTHER_no,FINREPPUBLIC_yes,FINREPDONOR_no,FINREPINCOME_no,FINREPSPEND_no,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_no,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_yes,DONFOROTHER_no,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_no,DONTUOTHER_no,DONGOVCONPARTY_no,DONGOVCONOTHER_no,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_no,DONLIMPARTY_no,DONLIMOTHER_no,DONIKLIMPARTY_no,DONIKLIMOTHER_no,DONBANK_no,OTHERACTORS_zero
ALB,Europe,Albania,LIMSPENDTYPE_no,LIMSPENDPARTY_yes,NA,LIMSPENDMEDIA_yes,LIMSPENDONLINE_yes,RESTRONLINE_no,PUBFUNDPARTY_g,NA,FREEMEDIAPARTY_yes,NA,INDIRPUBFUND_no,FINREPPARTY_yes,NA,FINREPPUBLIC_yes,FINREPDONOR_yes,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_yes,REGREQPARTY_yes,NA,NA,DONFORPARTY_yes,NA,DONCORPPARTY_no,NA,DONTUPARTY_no,NA,DONGOVCONPARTY_yes,NA,DONGOVCORPPARTY_yes,NA,DONLIMPARTY_yes,NA,DONIKLIMPARTY_yes,NA,DONBANK_yes,OTHERACTORS_banned
AND,Europe,Andorra,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_no,FREEMEDIAOTHER_no,INDIRPUBFUND_no,FINREPPARTY_g,FINREPOTHER_no,FINREPPUBLIC_no,FINREPDONOR_yes,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_no,DONFOROTHER_no,DONCORPPARTY_yes,DONCORPOTHER_no,DONTUPARTY_yes,DONTUOTHER_no,DONGOVCONPARTY_yes,DONGOVCONOTHER_no,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_no,DONLIMPARTY_yes,DONLIMOTHER_no,DONIKLIMPARTY_yes,DONIKLIMOTHER_no,DONBANK_yes,OTHERACTORS_zero
ARG,South America,Argentina,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_yes,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_yes,FREEMEDIAOTHER_no,INDIRPUBFUND_yes,FINREPPARTY_g,FINREPOTHER_no,FINREPPUBLIC_yes,FINREPDONOR_yes,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_yes,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_yes,DONFOROTHER_no,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_yes,DONTUOTHER_no,DONGOVCONPARTY_yes,DONGOVCONOTHER_no,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_no,DONLIMPARTY_yes,DONLIMOTHER_no,DONIKLIMPARTY_yes,DONIKLIMOTHER_no,DONBANK_yes,OTHERACTORS_zero
ARM,Asia,Armenia,LIMSPENDTYPE_no,LIMSPENDPARTY_yes,LIMSPENDOTHER_yes,LIMSPENDMEDIA_yes,LIMSPENDONLINE_yes,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_yes,FREEMEDIAOTHER_yes,INDIRPUBFUND_yes,FINREPPARTY_yes,FINREPOTHER_yes,FINREPPUBLIC_yes,FINREPDONOR_no,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_yes,REGREQPARTY_no,REGOTHER_yes,REGREQOTHER_no,DONFORPARTY_yes,DONFOROTHER_yes,DONCORPPARTY_no,DONCORPOTHER_yes,DONTUPARTY_no,DONTUOTHER_yes,DONGOVCONPARTY_yes,DONGOVCONOTHER_yes,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_yes,DONLIMPARTY_yes,DONLIMOTHER_yes,DONIKLIMPARTY_yes,DONIKLIMOTHER_yes,DONBANK_yes,OTHERACTORS_high
ATG,North America,Antigua and Barbuda,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_no,PUBFUNDOTHER_no,FREEMEDIAPARTY_no,FREEMEDIAOTHER_no,INDIRPUBFUND_no,FINREPPARTY_no,FINREPOTHER_no,FINREPPUBLIC_no,FINREPDONOR_no,FINREPINCOME_no,FINREPSPEND_no,TRANSPONLINE_no,SANCTIONS_no,MONITORBODY_no,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_no,DONFOROTHER_no,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_no,DONTUOTHER_no,DONGOVCONPARTY_no,DONGOVCONOTHER_no,DONGOVCORPPARTY_no,DONGOVCORPOTHER_no,DONLIMPARTY_no,DONLIMOTHER_no,DONIKLIMPARTY_no,DONIKLIMOTHER_no,DONBANK_no,OTHERACTORS_zero
AUS,Oceania,Australia,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_yes,FREEMEDIAOTHER_no,INDIRPUBFUND_no,FINREPPARTY_yes,FINREPOTHER_yes,FINREPPUBLIC_yes,FINREPDONOR_ca,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_yes,DONFOROTHER_yes,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_no,DONTUOTHER_no,DONGOVCONPARTY_no,DONGOVCONOTHER_no,DONGOVCORPPARTY_no,DONGOVCORPOTHER_no,DONLIMPARTY_no,DONLIMOTHER_no,DONIKLIMPARTY_no,DONIKLIMOTHER_no,DONBANK_no,OTHERACTORS_low
AUT,Europe,Austria,LIMSPENDTYPE_no,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_no,FREEMEDIAOTHER_no,INDIRPUBFUND_no,FINREPPARTY_g,FINREPOTHER_no,FINREPPUBLIC_yes,FINREPDONOR_ca,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,REGOTHER_no,NA,DONFORPARTY_yes,DONFOROTHER_no,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_no,DONTUOTHER_no,DONGOVCONPARTY_no,DONGOVCONOTHER_no,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_no,DONLIMPARTY_yes,DONLIMOTHER_no,DONIKLIMPARTY_yes,DONIKLIMOTHER_no,DONBANK_yes,OTHERACTORS_zero
AZE,Asia,Azerbaijan,LIMSPENDTYPE_yes,LIMSPENDPARTY_no,LIMSPENDOTHER_no,LIMSPENDMEDIA_no,LIMSPENDONLINE_no,RESTRONLINE_no,PUBFUNDPARTY_g,PUBFUNDOTHER_no,FREEMEDIAPARTY_yes,FREEMEDIAOTHER_yes,INDIRPUBFUND_yes,FINREPPARTY_yes,FINREPOTHER_yes,FINREPPUBLIC_yes,FINREPDONOR_yes,FINREPINCOME_yes,FINREPSPEND_yes,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,REGOTHER_yes,REGREQOTHER_no,DONFORPARTY_yes,DONFOROTHER_yes,DONCORPPARTY_no,DONCORPOTHER_no,DONTUPARTY_yes,DONTUOTHER_yes,DONGOVCONPARTY_no,DONGOVCONOTHER_no,DONGOVCORPPARTY_yes,DONGOVCORPOTHER_yes,DONLIMPARTY_yes,DONLIMOTHER_no,DONIKLIMPARTY_yes,DONIKLIMOTHER_no,DONBANK_yes,OTHERACTORS_high
BHR,Asia,Bahrain,LIMSPENDTYPE_yes,LIMSPENDPARTY_yes,NA,LIMSPENDMEDIA_yes,LIMSPENDONLINE_yes,RESTRONLINE_no,PUBFUNDPARTY_no,NA,FREEMEDIAPARTY_no,NA,INDIRPUBFUND_no,FINREPPARTY_no,NA,FINREPPUBLIC_no,FINREPDONOR_no,FINREPINCOME_no,FINREPSPEND_no,TRANSPONLINE_no,SANCTIONS_yes,MONITORBODY_g,REGPARTY_no,NA,NA,NA,DONFORPARTY_yes,NA,DONCORPPARTY_yes,NA,DONTUPARTY_yes,NA,DONGOVCONPARTY_yes,NA,DONGOVCORPPARTY_yes,NA,DONLIMPARTY_yes,NA,DONIKLIMPARTY_yes,NA,DONBANK_no,OTHERACTORS_banned
